равняются,rɐvnʲæjʊt͡sə
укоряешь,ʊkɐrʲæjɪʂ
пёстро,pʲɵstrə
буквами,bukvəmʲɪ
виновников,vʲɪnovnʲɪkəf
поднимемся,pɐdʲnʲimʲɪmsʲə
гаркнут,ɡarknʊt
апографов,ɐpoɡrəfəf
приветлива,prʲɪvʲetlʲɪvə
опреснителе,ɐprʲɪsʲnʲitʲɪlʲe
затупленном,zɐtuplʲɪnːəm
бузой,bʊzoj
газовщику,ɡəzəfɕːɪku
мореведениями,mərʲɪvʲedʲɪnʲɪjəmʲɪ
фрагментов,frɐɡmʲentəf
мурой,mʊroj
плетёт,plʲɪtʲɵt
суперлятиву,sʊpʲɪrlʲɪtʲivʊ
древесноуксуснокислый,drʲɪvʲesnɐuksʊsnɐkʲisɫɨj
воронок,vɐronək
бутиратом,bʊtʲɪratəm
прельщала,prʲɪlʲɕːaɫə
разлуке,rɐzɫukʲe
хлопках,xɫopkəx
греке,ɡrʲekʲe
ослабишь,ɐsɫabʲɪʂ
орошают,ɐrɐʂajʊt
мелиорациях,mʲɪlʲɪɐrat͡sɨjəx
унциями,unt͡sɨjəmʲɪ
диковины,dʲɪkovʲɪnɨ
воину,voɪnʊ
сгибаете,zɡʲɪbajɪtʲe
уединялось,ʊjɪdʲɪnʲaɫəsʲ
йотунов,jɵtʊnəf
лайке,ɫajkʲe
художнице,xʊdoʐnʲɪt͡sɨ
никелирую,nʲɪkʲɪlʲɪrujʊ
тротуарами,trətʊarəmʲɪ
машиностроителями,məʂɨnəstrɐitʲɪlʲəmʲɪ
вмести,vmʲɪsʲtʲi
улицами,ulʲɪt͡səmʲɪ
вспышке,fspɨʂkʲe
взвивается,vzvʲɪvajɪt͡sə
совет,sɐvʲet
светлеют,svʲɪtlʲejʊt
софами,sofəmʲɪ
заблуждаться,zəbɫʊʐdat͡sːə
пожаловав,pɐʐaɫəvəf
скукою,skukəjʊ
отпрянув,ɐtprʲanʊf
сослуживший,səsɫʊʐɨfʂɨj
сравнить,srɐvnʲitʲ
аршинов,ɐrʂɨnəf
расталкиваем,rɐstaɫkʲɪvəjɪm
дрожи,droʐɨ
рисуетесь,rʲɪsujɪtʲɪsʲ
хвоями,xvojəmʲɪ
пробуждающий,prəbʊʐdajʉɕːɪj
префектурой,prʲɪfʲɪkturəj
способность,spɐsobnəsʲtʲ
фотосессию,fotɐsʲesʲɪjʊ
кварцитами,kvɐrt͡sɨtəmʲɪ
расчёсывалась,rɐɕt͡ɕɵsɨvəɫəsʲ
кладоискатели,kɫədəɪskatʲɪlʲɪ
дровоколу,drəvɐkoɫʊ
прелату,prʲɪɫatʊ
небесам,nʲɪbʲɪsam
ожесточённо,ɐʐɨstɐt͡ɕɵnːə
заимела,zəɪmʲeɫə
папоротям,papərətʲəm
угорело,ʊɡɐrʲeɫə
доказавши,dəkɐzafʂɨ
другую,drʊɡujʊ
покоен,pɐkojɪn
требования,trʲebəvənʲɪjə
ликвидировало,lʲɪkvʲɪdʲirəvəɫə
деятельниц,dʲejɪtʲɪlʲnʲɪt͡s
миллиамперы,mʲilʲɪɐm⁽ʲ⁾pʲerɨ
переустроив,pʲɪrʲɪʊstroɪf
изъедая,ɪzjɪdajə
клевретов,klʲɪvrʲetəf
кобелей,kəbʲɪlʲej
педагогиками,pʲɪdɐɡoɡʲɪkəmʲɪ
нависши,nɐvʲiʂːɨ
завалах,zɐvaɫəx
правоты,prəvɐtɨ
интересуются,ɪnʲtʲɪrʲɪsujʊt͡sə
позавидовать,pəzɐvʲidəvətʲ
створкой,stvorkəj
безрассудство,bʲɪzrɐsːut͡stvə
дорогостоящ,dərəɡɐstojɪɕː
подробностях,pɐdrobnəsʲtʲəx
подъюбник,pɐdjubnʲɪk
всхлипываем,fsxlʲipɨvəjɪm
центурионах,t͡sɨntʊrʲɪonəx
кебабам,kʲɪbabəm
восполняете,vəspɐɫnʲæjɪtʲe
угодили,ʊɡɐdʲilʲɪ
пританцовывая,prʲɪtɐnt͡sovɨvəjə
копнёте,kɐpnʲɵtʲe
внезапности,vnʲɪzapnəsʲtʲɪ
япошкою,jɪpoʂkəjʊ
андеграундами,ɐndɨɡraʊndəmʲɪ
шваба,ʂvabə
излагалось,ɪzɫɐɡaɫəsʲ
регистратурою,rʲɪɡʲɪstrɐturəjʊ
размалывать,rɐzmaɫɨvətʲ
сценарии,st͡sɨnarʲɪɪ
снаряда,snɐrʲadə
нестерпимо,nʲɪsʲtʲɪrpʲimə
волостей,vəɫɐsʲtʲej
гафелях,ɡafʲɪlʲəx
физруках,fʲɪzrukəx
отрешились,ɐtrʲɪʂɨlʲɪsʲ
пересаживаю,pʲɪrʲɪsaʐɨvəjʊ
клобука,kɫəbʊka
карам,karəm
продолжала,prədɐɫʐaɫə
ошмёткам,ɐʂmʲɵtkəm
морщивший,mɐrɕːifʂɨj
оживителя,ɐʐɨvʲitʲɪlʲə
потирал,pətʲɪraɫ
герцоги,ɡʲert͡səɡʲɪ
обнашивать,ɐbnaʂɨvətʲ
постам,pɐstam
клюёт,klʲʉjɵt
пригоршню,prʲɪɡorʂnʲʊ
разживаешься,rəʐːɨvajɪʂsʲə
откосов,ɐtkosəf
дубин,dʊbʲin
говорится,ɡəvɐrʲit͡sːə
безрассудств,bʲɪzrɐsːut͡stf
прославливавши,prɐsɫavlʲɪvəfʂɨ
арамейцами,ɐrɐmʲejt͡səmʲɪ
спекулировав,spʲɪkʊlʲirəvəf
быдло,bɨdɫə
хаяв,xajɪf
бриджей,brʲid͡ʐʐɨj
голова,ɡəɫɐva
продержишься,prɐdʲerʐɨʂsʲə
киноаппарате,kʲɪnɐɐpɐratʲe
сазандарях,səzɐndarʲəx
обосралось,ɐbəsrɐɫosʲ
снимем,sʲnʲimʲɪm
вмятин,vmʲætʲɪn
зюйду,zʲʉjdʊ
дурачит,dʊrat͡ɕɪt
обжавший,ɐbʐafʂɨj
благословляй,bɫəɡəsɫɐvlʲæj
красного,krasnəvə
могиканину,məɡʲɪkanʲɪnʊ
подсвечу,pət͡ssvʲɪt͡ɕu
диминутиве,dʲɪmʲɪnʊtʲivʲe
сущим,suɕːɪm
горячившись,ɡərʲɪt͡ɕifʂɨsʲ
полянках,pɐlʲankəx
свезите,svʲɪzʲitʲe
плечевой,plʲɪt͡ɕɪvoj
целовало,t͡sɨɫɐvaɫə
этнологический,ɪtnəɫɐɡʲit͡ɕɪskʲɪj
коршуном,korʂʊnəm
обличил,ɐblʲɪt͡ɕiɫ
распространение,rəsprəstrɐnʲenʲɪje
отредактировать,ɐtrʲɪdɐktʲirəvətʲ
интерферометрия,ɪntɨrfʲɪrɐmʲetrʲɪjə
проступал,prəstʊpaɫ
ыых,ɨɨx
опросивший,ɐprɐsʲifʂɨj
придавался,prʲɪdɐvaɫs⁽ʲ⁾ə
чем,t͡ɕem
дозволило,dɐzvolʲɪɫə
воссоздадим,vəsːəzdɐdʲim
слабейте,sɫɐbʲejtʲe
взорвёт,vzɐrvʲɵt
усмотрит,ʊsmotrʲɪt
запрягать,zəprʲɪɡatʲ
умельцами,ʊmʲelʲt͡səmʲɪ
агрономах,ɐɡrɐnoməx
державный,dʲɪrʐavnɨj
действовали,dʲejstvəvəlʲɪ
карцерах,kart͡sɨrəx
замокши,zɐmokʂɨ
застраховалось,zəstrəxɐvaɫəsʲ
отгаданный,ɐdɡadənːɨj
берклиев,bʲerklʲɪjɪf
нивхках,nʲifxkəx
вылечите,vɨlʲɪt͡ɕɪtʲe
солить,sɐlʲitʲ
присловьям,prʲɪsɫov⁽ʲ⁾jəm
жнивьём,ʐnʲɪv⁽ʲ⁾jɵm
деньжата,dʲɪnʲʐatə
зоологиях,zɐɐɫoɡʲɪjəx
моргнувший,mɐrɡnufʂɨj
совершайтесь,səvʲɪrʂajtʲɪsʲ
устранят,ʊstrɐnʲat
стушевались,stʊʂɨvalʲɪsʲ
салакой,sɐɫakəj
убавляете,ʊbɐvlʲæjɪtʲe
уполномоченных,ʊpəɫnɐmot͡ɕɪnːɨx
баллу,baɫʊ
алунитах,ɐɫʊnʲitəx
свилась,svʲɪɫasʲ
стегавши,sʲtʲɪɡafʂɨ
нелепости,nʲɪlʲepəsʲtʲɪ
замарываете,zɐmarɨvəjɪtʲe
водяным,vədʲɪnɨm
тщательный,t͡ɕɕːætʲɪlʲnɨj
симулянты,sʲɪmʊlʲantɨ
замыкаетесь,zɐmɨkəjɪtʲɪsʲ
валторнам,vɐɫtornəm
йотировало,jɪtʲirəvəɫə
стоим,stoɪm
угоняют,ʊɡɐnʲæjʊt
киншаса,kʲɪnʂasə
возражав,vəzrɐʐaf
фитах,fʲɪtax
автоматонам,ɐftəmɐtonəm
протру,prɐtru
застревала,zəstrʲɪvaɫə
недосчитывайте,nʲɪdɐɕːitɨvəjtʲe
банальность,bɐnalʲnəsʲtʲ
потопаю,pətɐpajʊ
астрологам,ɐstroɫəɡəm
цукает,t͡sʊkajɪt
отбыло,ɐdbɨɫə
безнравственно,bʲɪznrafstvʲɪnːə
приноровиться,prʲɪnərɐvʲit͡sːə
окунувшись,ɐkʊnufʂɨsʲ
самозабвению,səməzɐb⁽ʲ⁾vʲenʲɪjʊ
неординарный,nʲɪərdʲɪnarnɨj
кому,komʊ
поговаривали,pəɡɐvarʲɪvəlʲɪ
дёргаемый,dʲɵrɡəjɪmɨj
масштабировал,məʂtɐbʲirəvəɫ
перронов,pʲɪronəf
переменявшийся,pʲɪrʲɪmʲɪnʲafʂɨjsʲə
домоседов,dəmɐsʲedəf
субботу,sʊbotʊ
доигрывая,dɐiɡrɨvəjə
верноподданных,vʲɪrnɐpodːənːɨx
метрический,mʲɪtrʲit͡ɕɪskʲɪj
неблагоразумий,nʲɪbɫəɡərɐzumʲɪj
опровергало,ɐprəvʲɪrɡaɫə
вараны,vɐranɨ
лектор,lʲektər
засыпавший,zɐsɨpəfʂɨj
мальчикам,malʲt͡ɕɪkəm
проёмы,prɐjɵmɨ
подпитывать,pɐtpʲitɨvətʲ
романизацией,rəmənʲɪzat͡sɨjɪj
психозотерапиям,psʲɪxəzətʲɪrɐpʲijəm
завязываться,zɐvʲazɨvət͡sə
испугано,ɪspuɡənə
трещим,trʲɪɕːim
выходили,vɨxədʲɪlʲɪ
перстнем,pʲers⁽ʲ⁾nʲɪm
пелене,pʲɪlʲɪnʲe
скептицизмами,skʲɪptʲɪt͡sɨzməmʲɪ
воздействуя,vɐzʲdʲejstvʊjə
задержавши,zədʲɪrʐafʂɨ
промасленный,prɐmas⁽ʲ⁾lʲɪnːɨj
прощаете,prɐɕːæjɪtʲe
жратва,ʐrɐtva
ускоряясь,ʊskɐrʲæjɪsʲ
резалась,rʲezəɫəsʲ
снимайтесь,sʲnʲɪmajtʲɪsʲ
карнаях,kɐrnajəx
отшучиваясь,ɐt͡ʂʂut͡ɕɪvəjɪsʲ
ретировались,rʲɪtʲɪrɐvalʲɪsʲ
разжимали,rəʐːɨmalʲɪ
учитывавшись,ʊt͡ɕitɨvəfʂɨsʲ
вспахал,fspɐxaɫ
учредителям,ʊt͡ɕrʲɪdʲitʲɪlʲəm
патрулям,pətrʊlʲam
наделываемый,nɐdʲeɫɨvəjɪmɨj
фалломорфирующий,faɫəmɐrfʲirʊjʉɕːɪj
штанге,ʂtanɡʲe
процентщиком,prɐt͡sɛnʲɕːɪkəm
раздастся,rɐzdast͡sə
столплюсь,stɐɫplʲʉsʲ
переваливают,pʲɪrʲɪvalʲɪvəjʊt
зудели,zʊdʲelʲɪ
наскандалили,nəskɐndalʲɪlʲɪ
оснуёмся,ɐsnʊjɵmsʲə
зипуны,zʲɪpʊnɨ
отворачивал,ɐtvɐrat͡ɕɪvəɫ
пострадает,pəstrɐdajɪt
улучшающийся,ʊɫʊt͡ʂʂajʉɕːɪjsʲə
прямив,prʲɪmʲif
ножика,noʐɨkə
галактика,ɡɐɫaktʲɪkə
пировали,pʲɪrɐvalʲɪ
подсохший,pɐt͡ssoxʂɨj
подвинется,pɐdvʲinʲɪt͡sə
нидерландец,nʲɪdʲɪrɫanʲdʲɪt͡s
опросим,ɐprosʲɪm
мухлежа,mʊxlʲɪʐa
варьируете,vɐrʲjirʊjɪtʲe
штрафанула,ʂtrəfɐnuɫə
занимаются,zənʲɪmajʊt͡sə
аргоном,ɐrɡonəm
припарковывавши,prʲɪpɐrkovɨvəfʂɨ
слабнешь,sɫabnʲɪʂ
определённостями,ɐprʲɪdʲɪlʲɵnːəsʲtʲəmʲɪ
ярусом,jarʊsəm
отбыло,odbɨɫə
разбредясь,rəzbrʲɪdʲæsʲ
обляжет,ɐblʲaʐɨt
аттестуемый,ɐtʲɪstujɪmɨj
неразбериха,nʲɪrəzbʲɪrʲixə
приплыла,prʲɪpɫɨɫa
поборет,pɐborʲɪt
набрасываемый,nɐbrasɨvəjɪmɨj
харитон,xərʲɪton
направляя,nəprɐvlʲæjə
выпиливаешь,vɨpʲilʲɪvəjɪʂ
егерям,jɪɡʲɪrʲam
блужу,bɫʊʐu
доведению,dəvʲɪdʲenʲɪjʊ
старец,starʲɪt͡s
тянувший,tʲɪnufʂɨj
винтики,vʲinʲtʲɪkʲɪ
правота,prəvɐta
затворяются,zətvɐrʲæjʊt͡sə
компьютеризации,kəm⁽ʲ⁾p⁽ʲ⁾jʊtɨrʲɪzat͡sɨɪ
антироссийский,ɐnʲtʲɪrɐsʲijskʲɪj
нейлоном,nɨjɫonəm
кашлях,kaʂlʲəx
очаровала,ɐt͡ɕɪrɐvaɫə
интеллектом,ɪnʲtʲɪlʲektəm
выдворяли,vɨdvɐrʲælʲɪ
справился,spravʲɪɫs⁽ʲ⁾ə
киноплёнкою,kʲɪnɐplʲɵnkəjʊ
устремления,ʊstrʲɪmlʲenʲɪjə
согражданину,səɡrəʐdɐnʲinʊ
жилетка,ʐɨlʲetkə
безымянный,bʲɪzɨmʲanːɨj
супермаркетам,sʊpʲɪrmarkʲɪtəm
думаете,duməjɪtʲe
раковый,rakəvɨj
нравство,nrafstvə
обрубку,ɐbrupkʊ
соцсетью,sot͡sʲsʲetʲjʊ
клещей,klʲɪɕːej
чертежей,t͡ɕɪrtʲɪʐɛj
воздел,vɐzʲdʲeɫ
перемахнём,pʲɪrʲɪmɐxnʲɵm
превозносить,prʲɪvəznɐsʲitʲ
программками,prɐɡramkəmʲɪ
бушприт,bʊʂprʲit
лежании,lʲɪʐanʲɪɪ
закопушках,zəkɐpuʂkəx
мучительницами,mʊt͡ɕitʲɪlʲnʲɪt͡səmʲɪ
паломник,pɐɫomnʲɪk
желудей,ʐɨɫʊdʲej
петый,pʲetɨj
источник,ɪstot͡ɕnʲɪk
затвердеете,zətvʲɪrdʲejɪtʲe
побрала,pəbrɐɫa
обеспокоишь,ɐbʲɪspɐkoɪʂ
поголубеете,pəɡəɫʊbʲejɪtʲe
победоносцам,pəbʲɪdɐnost͡səm
проглядываем,prɐɡlʲadɨvəjɪm
изматывает,ɪzmatɨvəjɪt
микрон,mʲɪkron
крестовин,krʲɪstɐvʲin
растягивает,rɐsʲtʲæɡʲɪvəjɪt
тонируя,tɐnʲirʊjə
фломастерам,fɫɐmasʲtʲɪrəm
подтаскивая,pɐtːaskʲɪvəjə
всаднице,fsadʲnʲɪt͡sɨ
изъезжая,ɪzjɪʑːæjə
тумаками,tʊmɐkamʲɪ
бурением,bʊrʲenʲɪjɪm
тиснению,tʲɪsʲnʲenʲɪjʊ
хеллоуинах,xɨɫəʊinəx
ознакомляться,ɐznəkɐmlʲat͡sːə
саранчуками,sərənʲt͡ɕʊkamʲɪ
возомнили,vəzɐmnʲilʲɪ
самоудовлетворением,səməʊdəvlʲɪtvɐrʲenʲɪjɪm
выпотрошенный,vɨpətrəʂɨnːɨj
менте,mʲɪnʲtʲe
лягавых,lʲɪɡavɨx
притыкалась,prʲɪtɨkaɫəsʲ
завораживал,zəvɐraʐɨvəɫ
горошину,ɡɐroʂɨnʊ
болтаясь,bɐɫtajɪsʲ
вскипавши,fskʲɪpafʂɨ
адмотделам,admɐdʲːeɫəm
синтагмах,sʲɪntaɡməx
посветлевши,pəsvʲɪtlʲefʂɨ
продолжаемый,prədɐɫʐajɪmɨj
недоработок,nʲɪdərɐbotək
пэрами,pɛrəmʲɪ
продумайте,prɐduməjtʲe
волдыри,vəɫdɨrʲi
равнодушны,rəvnɐduʂnɨ
половинка,pəɫɐvʲinkə
пронзав,prɐnzaf
усердия,ʊsʲerdʲɪjə
ого,oɣo
извлекалось,ɪzvlʲɪkaɫəsʲ
приверженностью,prʲɪvʲerʐɨnːəsʲtʲjʊ
агенсам,aɡʲɪnsəm
проблесков,problʲɪskəf
отдав,ɐdːaf
размежёвывал,rəzmʲɪʐovɨvəɫ
перепутается,pʲɪrʲɪputəjɪt͡sə
антиохия,ɐnʲtʲɪoxʲɪjə
выдвиньте,vɨdvʲɪnʲtʲe
прислужим,prʲɪsɫuʐɨm
обрезка,ɐbrʲeskə
себяшка,sʲɪbʲaʂkə
котлованами,kətɫɐvanəmʲɪ
резцу,rʲɪst͡su
тупарей,tʊpɐrʲej
оккультизмом,ɐkʊlʲtʲizməm
дозволяющий,dəzvɐlʲæjʉɕːɪj
романтику,rɐmanʲtʲɪkʊ
выхватывает,vɨxvatɨvəjɪt
пыхтят,pɨxtʲat
подтвердят,pətːvʲɪrdʲat
предало,prʲedəɫə
опух,ɐpux
нимфу,nʲimfʊ
аффектах,ɐfʲektəx
ушанкой,ʊʂankəj
оплёвывающий,ɐplʲɵvɨvəjʉɕːɪj
благоухай,bɫəɡəʊxaj
дезертируй,dʲɪzʲɪrtʲirʊj
чемодан,t͡ɕɪmɐdan
сгрудься,zɡrut͡sʲsʲə
высморкайся,vɨsmərkəjsʲə
скопцами,skɐpt͡samʲɪ
клюковка,klʲukəfkə
хулиганстве,xʊlʲɪɡanstvʲe
простроился,prɐstroɪɫs⁽ʲ⁾ə
артишок,ɐrtʲɪʂok
медальонам,mʲɪdɐlʲjɵnəm
пупсу,pupsʊ
клеёнку,klʲɪjɵnkʊ
предназначились,prʲɪdnɐznat͡ɕɪlʲɪsʲ
молочник,mɐɫot͡ɕnʲɪk
скипетрами,skʲipʲɪtrəmʲɪ
туземца,tʊzʲemt͡sə
вывихами,vɨvʲɪxəmʲɪ
покушусь,pəkʊʂusʲ
насмехаться,nəsmʲɪxat͡sːə
деформации,dʲɪfɐrmat͡sɨɪ
оформляются,ɐfɐrmlʲæjʊt͡sə
урочищам,ʊrot͡ɕɪɕːəm
предоставляла,prʲɪdəstɐvlʲaɫə
испански,ɪspanskʲɪ
проливающий,prəlʲɪvajʉɕːɪj
треугольно,trʲɪʊɡolʲnə
яхту,jaxtʊ
представляются,prʲɪt͡stɐvlʲæjʊt͡sə
поблагодарило,pəbɫəɡədɐrʲiɫə
кристалла,krʲɪstaɫə
переболеет,pʲɪrʲɪbɐlʲejɪt
объединённый,ɐbjɪdʲɪnʲɵnːɨj
воспроизводясь,vəsprəɪzvɐdʲæsʲ
выслушивать,vɨsɫuʂɨvətʲ
броди,brɐdʲi
дослужат,dɐsɫuʐət
встрепенувшись,fstrʲɪpʲɪnufʂɨsʲ
постылели,pɐstɨlʲɪlʲɪ
ступало,stʊpaɫə
ухало,uxəɫə
подменяв,pədmʲɪnʲaf
чекану,t͡ɕɪkanʊ
обессмертишь,ɐbʲɪsːmʲertʲɪʂ
облевав,ɐblʲɪvaf
семьянин,sʲɪm⁽ʲ⁾jɪnʲin
пристрелив,prʲɪstrʲɪlʲif
словенцам,sɫɐvʲent͡səm
тмящий,tmʲæɕːɪj
распашу,rəspɐʂu
побежишь,pəbʲɪʐɨʂ
жиру,ʐɨru
срабатываю,srɐbatɨvəjʊ
объявляю,ɐbjɪvlʲæjʊ
защитила,zəɕːɪtʲiɫə
набегам,nɐbʲeɡəm
прорубями,prərʊbʲæmʲɪ
посадить,pəsɐdʲitʲ
боулингами,boʊlʲɪnɡəmʲɪ
полысей,pəɫɨsʲej
горючими,ɡɐrʲʉt͡ɕɪmʲɪ
ботая,botəjə
бесплодием,bʲɪspɫodʲɪjɪm
ополчений,ɐpɐɫt͡ɕenʲɪj
рифами,rʲifəmʲɪ
калошами,kɐɫoʂəmʲɪ
гидрах,ɡʲidrəx
чешуёй,t͡ɕɪʂʊjɵj
возросли,vəzrɐs⁽ʲ⁾lʲi
осуществитесь,ɐsʊɕːɪstvʲitʲɪsʲ
перемещение,pʲɪrʲɪmʲɪɕːenʲɪje
стянула,sʲtʲɪnuɫə
инвестиции,ɪnvʲɪsʲtʲit͡sɨɪ
откаты,ɐtkatɨ
гранить,ɡrɐnʲitʲ
стилизации,sʲtʲɪlʲɪzat͡sɨɪ
авиакатастрофах,avʲɪəkətɐstrofəx
прошения,prɐʂɛnʲɪjə
стряхну,strʲɪxnu
подтасуешь,pətːɐsujɪʂ
псевдонима,psʲɪvdɐnʲimə
эндрюсарху,ɪndrʲʊsarxʊ
физкультурник,fʲɪskʊlʲturnʲɪk
фобиями,fobʲɪjəmʲɪ
калёный,kɐlʲɵnɨj
замедляем,zəmʲɪdlʲæjɪm
сровнялось,srɐvnʲaɫəsʲ
биологии,bʲɪɐɫoɡʲɪɪ
дешифруешь,dɨʂɨfrujɪʂ
шифоньера,ʂɨfɐnʲjerə
соприкоснёшься,səprʲɪkɐsʲnʲɵʂsʲə
ковбоях,kɐvbojəx
взойдём,vzɐjdʲɵm
яблока,jabɫəkə
охраняющий,ɐxrɐnʲæjʉɕːɪj
мнив,mnʲif
пожелай,pəʐɨɫaj
невозмутимый,nʲɪvəzmʊtʲimɨj
разлюбят,rɐz⁽ʲ⁾lʲʉbʲət
вытягиваетесь,vɨtʲæɡʲɪvəjɪtʲɪsʲ
засушило,zəsʊʂɨɫə
укатил,ʊkɐtʲiɫ
голодух,ɡəɫɐdux
словесность,sɫɐvʲesnəsʲtʲ
мыльце,mɨlʲt͡sə
вертят,vʲertʲət
кляпом,klʲapəm
религиозностями,rʲɪlʲɪɡʲɪoznəsʲtʲəmʲɪ
натаскивая,nɐtaskʲɪvəjə
слезливый,s⁽ʲ⁾lʲɪz⁽ʲ⁾lʲivɨj
распределивши,rəsprʲɪdʲɪlʲifʂɨ
набожности,nabəʐnəsʲtʲɪ
жиза,ʐɨza
испражнялось,ɪsprɐʐnʲaɫəsʲ
изнашивав,ɪznaʂɨvəf
барда,bardə
промере,prɐmʲerʲe
горловину,ɡərɫɐvʲinʊ
аллергиею,ɐlʲɪrɡʲijɪjʊ
астрофизикою,ɐstrɐfʲizʲɪkəjʊ
паривши,pɐrʲifʂɨ
доводиться,dəvɐdʲit͡sːə
чугункам,t͡ɕʊɡʊnkam
мастурбируя,məstʊrbʲirʊjə
повозим,pɐvozʲɪm
вонючкой,vɐnʲʉt͡ɕkəj
ловеласов,ɫəvʲɪɫasəf
переодевающий,pʲɪrʲɪədʲɪvajʉɕːɪj
беззаконие,bʲɪzːɐkonʲɪje
стынях,stɨnʲəx
включаемый,fklʲʉt͡ɕæjɪmɨj
бухтеть,bʊxtʲetʲ
симптомах,sʲɪmptoməx
завывайте,zəvɨvajtʲe
заглотанный,zɐɡɫotənːɨj
шабаш,ʂɐbaʂ
регистратурами,rʲɪɡʲɪstrɐturəmʲɪ
чесноком,t͡ɕɪsnɐkom
архаичен,ɐrxɐit͡ɕɪn
сгрузишь,zɡruzʲɪʂ
дбал,dbaɫ
выгуливавши,vɨɡulʲɪvəfʂɨ
инвестор,ɪnvʲestər
подкреплении,pətkrʲɪplʲenʲɪɪ
неправдам,nʲɪpravdəm
выпускавший,vɨpʊskafʂɨj
погребают,pəɡrʲɪbajʊt
поршнях,porʂnʲəx
хуками,xukəmʲɪ
приземляются,prʲɪzʲɪmlʲæjʊt͡sə
засунешь,zɐsunʲɪʂ
развозивший,rəzvɐzʲifʂɨj
изволением,ɪzvɐlʲenʲɪjɪm
дорог,dorək
усложнил,ʊsɫɐʐnʲiɫ
одумается,ɐduməjɪt͡sə
озаботься,ɐzɐbot͡sːə
проплывёте,prəpɫɨvʲɵtʲe
кончающийся,kɐnʲt͡ɕæjʉɕːɪjsʲə
гиревиками,ɡʲɪrʲɪvʲɪkamʲɪ
ухающий,uxəjʉɕːɪj
равновесием,rəvnɐvʲesʲɪjɪm
допускал,dəpʊskaɫ
замяв,zɐmʲaf
исчезаем,ɪɕːɪzajɪm
полюбуемся,pəlʲʊbujɪmsʲə
любоваться,lʲʊbɐvat͡sːə
застреливал,zɐstrʲelʲɪvəɫ
прогремела,prəɡrʲɪmʲeɫə
дискутантом,dʲɪskʊtantəm
увольняются,ʊvɐlʲnʲæjʊt͡sə
вопиет,vəpʲɪjet
щупалец,ɕːupəlʲɪt͡s
крестоносец,krʲɪstɐnosʲɪt͡s
деют,dʲejʊt
прошивкой,prɐʂɨfkəj
обматывающий,ɐbmatɨvəjʉɕːɪj
ринекантами,rʲɪnʲɪkantəmʲɪ
мольбертом,mɐlʲbʲertəm
титанам,tʲɪtanəm
навешавший,nɐvʲeʂəfʂɨj
автоматизировал,ɐftəmətʲɪzʲirəvəɫ
упрямцу,ʊprʲamt͡sʊ
заколеблись,zəkɐlʲeblʲɪsʲ
костили,kɐsʲtʲilʲɪ
приглагольный,prʲɪɡɫɐɡolʲnɨj
индивидуум,ɪnʲdʲɪvʲidʊʊm
мутантах,mʊtantəx
поддакиваем,pɐdːakʲɪvəjɪm
кладями,kɫadʲəmʲɪ
вылупить,vɨɫʊpʲɪtʲ
праведностью,pravʲɪdnəsʲtʲjʊ
осрамивший,ɐsrɐmʲifʂɨj
заткну,zɐtknu
логиках,ɫoɡʲɪkəx
рулило,rʊlʲiɫə
поцарапают,pət͡sɐrapəjʊt
заставишь,zɐstavʲɪʂ
выбежал,vɨbʲɪʐəɫ
киргизкам,kʲɪrɡʲiskəm
отливавший,ɐtlʲɪvafʂɨj
поезди,pɐjezʲdʲɪ
абсурден,ɐpsurdʲɪn
забеспокойтесь,zəbʲɪspɐkojtʲɪsʲ
минарету,mʲɪnɐrʲetʊ
гостило,ɡɐsʲtʲiɫə
стоку,stokʊ
одноклассниц,ɐdnɐkɫasʲnʲɪt͡s
забрезжим,zɐbrʲeʑːɪm
мультфильме,mʊlʲtfʲilʲmʲe
эпидермой,ɪpʲɪdɛrməj
виев,vʲijɪf
управою,ʊpravəjʊ
манёвренности,mɐnʲɵvrʲɪnːəsʲtʲɪ
зыбилась,zɨbʲɪɫəsʲ
залуп,zɐɫup
смазкой,smaskəj
обработалась,ɐbrɐbotəɫəsʲ
независимостью,nʲɪzɐvʲisʲɪməsʲtʲjʊ
агванками,ɐɡvankəmʲɪ
зовём,zɐvʲɵm
двигалась,dvʲiɡəɫəsʲ
инициаторы,ɪnʲɪt͡sɨatərɨ
рассекречивавши,rəsʲːɪkrʲet͡ɕɪvəfʂɨ
затормозил,zətərmɐzʲiɫ
поклонах,pɐkɫonəx
проваливаясь,prɐvalʲɪvəjɪsʲ
озорничающий,ɐzərnʲɪt͡ɕæjʉɕːɪj
распинаю,rəspʲɪnajʊ
пакетиками,pɐkʲetʲɪkəmʲɪ
стишка,sʲtʲɪʂka
аппаратчицею,ɐpɐrat͡ɕːɪt͡sɨjʊ
разрабатываюсь,rəzrɐbatɨvəjʉsʲ
тупики,tupʲɪkʲɪ
шнелками,ʂnɛɫkəmʲɪ
угасай,ʊɡɐsaj
ладоням,ɫɐdonʲəm
напойте,nɐpojtʲe
распространителе,rəsprəstrɐnʲitʲɪlʲe
шефов,ʂɛfəf
подносимый,pədnɐsʲimɨj
залитый,zɐlʲitɨj
депутат,dʲɪpʊtat
фальшивить,fɐlʲʂɨvʲɪtʲ
шестидесятником,ʂɨsʲtʲɪdʲɪsʲætʲnʲɪkəm
защитой,zɐɕːitəj
пригибался,prʲɪɡʲɪbaɫs⁽ʲ⁾ə
